key_id,lookup_id,form
1,1,vegetable
2,1,fresh
3,2,whole
4,2,ground
5,2,mixes
6,3,whole
7,3,ground
8,4,whole
9,4,ground
10,5,root
11,5,vegetable
12,5,fresh
13,6,whole
